Name,Latitude,Longitude,ZCTA5CE10,nearest_route_id,nearest_route_distance,accessibility_category
District 25 Pre-K Center,40.785787,-73.826154,11357.0,Q76,0.2061687435090996,Very accessible
John Bowne High School,40.737448,-73.823841,11367.0,Q44+,0.14305109076492603,Very accessible
Flushing High School,40.764892,-73.826811,11354.0,QM3,0.13942585251656078,Very accessible
"The Queens College School for Math, Science and Te",40.738599,-73.820821,11367.0,Q44+,0.2229239830052482,Very accessible
Townsend Harris High School,40.737038,-73.821532,11367.0,Q44+,0.2397975890838545,Very accessible
Queens Academy High School,40.765624,-73.828279,11354.0,QM3,0.22519663431081813,Very accessible
Robert F. Kennedy Community High School,40.72528,-73.811408,11367.0,Q25,0.48346088434838846,Accessible
North Queens Community High School,40.720586,-73.819664,11367.0,QM6,0.21854738120727954,Very accessible
Flushing Evening High Schl M/W,40.764892,-73.826811,11354.0,QM3,0.13942585251656078,Very accessible
P.S. 018 Winchester,40.731853,-73.73229,11427.0,Q43,0.379303438829485,Accessible
P.S. 026 Rufus King,40.735935,-73.777607,11365.0,Q88,0.25902254871318653,Accessible
P.S. 031 Bayside,40.757701,-73.768994,11361.0,Q12,0.17043155089948836,Very accessible
P.S. 041 Crocheron,40.770155,-73.771225,11361.0,Q13,0.15363602925187464,Very accessible
P.S. 046 Alley Pond,40.745744,-73.758042,11364.0,Q27,0.2204585374602866,Very accessible
J.H.S. 067 Louis Pasteur,40.762241,-73.734832,11362.0,Q30,0.06327215164231874,Very accessible
J.H.S. 074 Nathaniel Hawthorne,40.744743,-73.766653,11364.0,Q30,0.06492121984266983,Very accessible
P.S. 094 David D. Porter,40.771258,-73.738703,11363.0,Q36,0.19188899869162862,Very accessible
P.S. 098 The Douglaston School,40.768906,-73.749998,11363.0,Q36,0.5298829632359684,Moderately accessible
The James J. Ambrose School,40.744201,-73.709404,11004.0,QM6,0.2304812637737727,Very accessible
